state_fips,state,state_abbr,GEOID,county,city,c,NAME
1,Alabama,AL,35004,St. Clair,Acmar,"County,","St. Clair County, Alabama"
1,Alabama,AL,35005,Jefferson,Adamsville,"County,","Jefferson County, Alabama"
1,Alabama,AL,35006,Jefferson,Adger,"County,","Jefferson County, Alabama"
1,Alabama,AL,35007,Shelby,Keystone,"County,","Shelby County, Alabama"
1,Alabama,AL,35010,Tallapoosa,New site,"County,","Tallapoosa County, Alabama"
1,Alabama,AL,35014,Talladega,Alpine,"County,","Talladega County, Alabama"
1,Alabama,AL,35016,Marshall,Arab,"County,","Marshall County, Alabama"
1,Alabama,AL,35019,Cullman,Baileyton,"County,","Cullman County, Alabama"
1,Alabama,AL,35020,Jefferson,Bessemer,"County,","Jefferson County, Alabama"
1,Alabama,AL,35022,Jefferson,Zcta 35022,"County,","Jefferson County, Alabama"
1,Alabama,AL,35023,Jefferson,Hueytown,"County,","Jefferson County, Alabama"
1,Alabama,AL,35031,Blount,Blountsville,"County,","Blount County, Alabama"
1,Alabama,AL,35033,Cullman,Bremen,"County,","Cullman County, Alabama"
1,Alabama,AL,35034,Bibb,Brent,"County,","Bibb County, Alabama"
1,Alabama,AL,35035,Bibb,Brierfield,"County,","Bibb County, Alabama"
1,Alabama,AL,35036,Jefferson,Brookside,"County,","Jefferson County, Alabama"
1,Alabama,AL,35040,Shelby,Calera,"County,","Shelby County, Alabama"
1,Alabama,AL,35042,Bibb,Centreville,"County,","Bibb County, Alabama"
1,Alabama,AL,35043,Shelby,Chelsea,"County,","Shelby County, Alabama"
1,Alabama,AL,35044,Talladega,Coosa pines,"County,","Talladega County, Alabama"
1,Alabama,AL,35045,Chilton,Clanton,"County,","Chilton County, Alabama"
1,Alabama,AL,35046,Chilton,Zcta 35046,"County,","Chilton County, Alabama"
1,Alabama,AL,35049,Blount,Cleveland,"County,","Blount County, Alabama"
1,Alabama,AL,35051,Shelby,Columbiana,"County,","Shelby County, Alabama"
1,Alabama,AL,35052,St. Clair,Cook springs,"County,","St. Clair County, Alabama"
1,Alabama,AL,35053,Cullman,Crane hill,"County,","Cullman County, Alabama"
1,Alabama,AL,35054,St. Clair,Cropwell,"County,","St. Clair County, Alabama"
1,Alabama,AL,35055,Cullman,Cullman,"County,","Cullman County, Alabama"
1,Alabama,AL,35057,Cullman,Cullman,"County,","Cullman County, Alabama"
1,Alabama,AL,35058,Cullman,Zcta 35058,"County,","Cullman County, Alabama"
1,Alabama,AL,35060,Jefferson,Docena,"County,","Jefferson County, Alabama"
1,Alabama,AL,35061,Jefferson,Dolomite,"County,","Jefferson County, Alabama"
1,Alabama,AL,35062,Jefferson,Dora,"County,","Jefferson County, Alabama"
1,Alabama,AL,35063,Walker,Empire,"County,","Walker County, Alabama"
1,Alabama,AL,35064,Jefferson,Fairfield,"County,","Jefferson County, Alabama"
1,Alabama,AL,35068,Jefferson,Coalburg,"County,","Jefferson County, Alabama"
1,Alabama,AL,35070,Cullman,Garden city,"County,","Cullman County, Alabama"
1,Alabama,AL,35071,Jefferson,Gardendale,"County,","Jefferson County, Alabama"
1,Alabama,AL,35072,Coosa,Goodwater,"County,","Coosa County, Alabama"
1,Alabama,AL,35073,Jefferson,Alden,"County,","Jefferson County, Alabama"
1,Alabama,AL,35074,Bibb,Green pond,"County,","Bibb County, Alabama"
1,Alabama,AL,35077,Cullman,Hanceville,"County,","Cullman County, Alabama"
1,Alabama,AL,35078,Shelby,Harpersville,"County,","Shelby County, Alabama"
1,Alabama,AL,35079,Blount,Hayden,"County,","Blount County, Alabama"
1,Alabama,AL,35080,Shelby,Helena,"County,","Shelby County, Alabama"
1,Alabama,AL,35082,Clay,Hollins,"County,","Clay County, Alabama"
1,Alabama,AL,35083,Cullman,Holly pond,"County,","Cullman County, Alabama"
1,Alabama,AL,35085,Chilton,Jemison,"County,","Chilton County, Alabama"
1,Alabama,AL,35087,Cullman,Joppa,"County,","Cullman County, Alabama"
1,Alabama,AL,35089,Coosa,Kellyton,"County,","Coosa County, Alabama"
1,Alabama,AL,35091,Jefferson,Kimberly,"County,","Jefferson County, Alabama"
1,Alabama,AL,35094,Jefferson,Leeds,"County,","Jefferson County, Alabama"
1,Alabama,AL,35096,Talladega,Lincoln,"County,","Talladega County, Alabama"
1,Alabama,AL,35097,Blount,Locust fork,"County,","Blount County, Alabama"
1,Alabama,AL,35098,Cullman,Logan,"County,","Cullman County, Alabama"
1,Alabama,AL,350HH,Chilton,Zcta 350hh,"County,","Chilton County, Alabama"
1,Alabama,AL,350XX,Coosa,Zcta 350xx,"County,","Coosa County, Alabama"
1,Alabama,AL,35111,Tuscaloosa,Mc calla,"County,","Tuscaloosa County, Alabama"
1,Alabama,AL,35112,St. Clair,Margaret,"County,","St. Clair County, Alabama"
1,Alabama,AL,35114,Shelby,Maylene,"County,","Shelby County, Alabama"
1,Alabama,AL,35115,Shelby,Montevallo,"County,","Shelby County, Alabama"
1,Alabama,AL,35116,Jefferson,Morris,"County,","Jefferson County, Alabama"
1,Alabama,AL,35117,Jefferson,Mount olive,"County,","Jefferson County, Alabama"
1,Alabama,AL,35118,Jefferson,Sylvan springs,"County,","Jefferson County, Alabama"
1,Alabama,AL,35119,Jefferson,New castle,"County,","Jefferson County, Alabama"
1,Alabama,AL,35120,St. Clair,Odenville,"County,","St. Clair County, Alabama"
1,Alabama,AL,35121,Blount,Oneonta,"County,","Blount County, Alabama"
1,Alabama,AL,35124,Shelby,Indian springs,"County,","Shelby County, Alabama"
1,Alabama,AL,35125,St. Clair,Pell city,"County,","St. Clair County, Alabama"
1,Alabama,AL,35126,Jefferson,Dixiana,"County,","Jefferson County, Alabama"
1,Alabama,AL,35127,Jefferson,Pleasant grove,"County,","Jefferson County, Alabama"
1,Alabama,AL,35128,St. Clair,Zcta 35128,"County,","St. Clair County, Alabama"
1,Alabama,AL,35130,Walker,Quinton,"County,","Walker County, Alabama"
1,Alabama,AL,35131,St. Clair,Ragland,"County,","St. Clair County, Alabama"
1,Alabama,AL,35133,Blount,Remlap,"County,","Blount County, Alabama"
1,Alabama,AL,35135,St. Clair,Riverside,"County,","St. Clair County, Alabama"
1,Alabama,AL,35136,Coosa,Rockford,"County,","Coosa County, Alabama"
1,Alabama,AL,35139,Jefferson,Sayre,"County,","Jefferson County, Alabama"
1,Alabama,AL,35143,Shelby,Shelby,"County,","Shelby County, Alabama"
1,Alabama,AL,35146,St. Clair,Springville,"County,","St. Clair County, Alabama"
1,Alabama,AL,35147,Shelby,Sterrett,"County,","Shelby County, Alabama"
1,Alabama,AL,35148,Walker,Sumiton,"County,","Walker County, Alabama"
1,Alabama,AL,35149,Talladega,Sycamore,"County,","Talladega County, Alabama"
1,Alabama,AL,35150,Talladega,Sylacauga,"County,","Talladega County, Alabama"
1,Alabama,AL,35151,Talladega,Zcta 35151,"County,","Talladega County, Alabama"
1,Alabama,AL,35160,Talladega,Talladega,"County,","Talladega County, Alabama"
1,Alabama,AL,35171,Chilton,Thorsby,"County,","Chilton County, Alabama"
1,Alabama,AL,35172,Blount,Trafford,"County,","Blount County, Alabama"
1,Alabama,AL,35173,Jefferson,Trussville,"County,","Jefferson County, Alabama"
1,Alabama,AL,35175,Marshall,Union grove,"County,","Marshall County, Alabama"
1,Alabama,AL,35176,Shelby,Vandiver,"County,","Shelby County, Alabama"
1,Alabama,AL,35178,Shelby,Vincent,"County,","Shelby County, Alabama"
1,Alabama,AL,35179,Cullman,Vinemont,"County,","Cullman County, Alabama"
1,Alabama,AL,35180,Jefferson,Warrior,"County,","Jefferson County, Alabama"
1,Alabama,AL,35183,Coosa,Weogufka,"County,","Coosa County, Alabama"
1,Alabama,AL,35184,Bibb,West blocton,"County,","Bibb County, Alabama"
1,Alabama,AL,35186,Shelby,Wilsonville,"County,","Shelby County, Alabama"
1,Alabama,AL,35188,Bibb,Woodstock,"County,","Bibb County, Alabama"
1,Alabama,AL,351HH,Blount,Zcta 351hh,"County,","Blount County, Alabama"
1,Alabama,AL,351XX,Coosa,Zcta 351xx,"County,","Coosa County, Alabama"
1,Alabama,AL,35203,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35204,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35205,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35206,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35207,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35208,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35209,Jefferson,Homewood,"County,","Jefferson County, Alabama"
1,Alabama,AL,35210,Jefferson,Irondale,"County,","Jefferson County, Alabama"
1,Alabama,AL,35211,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35212,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35213,Jefferson,Crestline height,"County,","Jefferson County, Alabama"
1,Alabama,AL,35214,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35215,Jefferson,Center point,"County,","Jefferson County, Alabama"
1,Alabama,AL,35216,Jefferson,Vestavia hills,"County,","Jefferson County, Alabama"
1,Alabama,AL,35217,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35218,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35221,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35222,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35223,Jefferson,Mountain brook,"County,","Jefferson County, Alabama"
1,Alabama,AL,35224,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35226,Jefferson,Bluff park,"County,","Jefferson County, Alabama"
1,Alabama,AL,35228,Jefferson,Midfield,"County,","Jefferson County, Alabama"
1,Alabama,AL,35233,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35234,Jefferson,Birmingham,"County,","Jefferson County, Alabama"
1,Alabama,AL,35235,Jefferson,Center point,"County,","Jefferson County, Alabama"
1,Alabama,AL,35242,Shelby,Shoal creek,"County,","Shelby County, Alabama"
1,Alabama,AL,35243,Jefferson,Cahaba heights,"County,","Jefferson County, Alabama"
1,Alabama,AL,35244,Jefferson,Hoover,"County,","Jefferson County, Alabama"
